ID,Start time,Completion time,Email,Name,Last modified time,Please select your stage:,Are you an international student?,Please state your ethnicity:,Please select your gender:,"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",Is stress a constant hinderance to your productivity?,Do you feel under pressure from deadlines?,"Do you feel that too many demands are being made on you?
","In the last month, how often have you felt confident about your ability to handle your personal problems?","In the last month, how often have you found that you could not cope with all the things that
you had to do?
","Do you effectively practice stress management in your daily life?
",Do you think the university provides effective ways of lowering stress?,"In your opinion, to what degree does stress influence students’ academic success?
","In the last month, how often have you felt that you were on top of things?
","By answering the questions above, you consent to having your answers processed and used in further development during my final project."
1,2/15/24 14:24:33,2/15/24 14:25:28,anonymous,,,3,No,Black/Black British,Male,3,3,4 - Highest,4 - Highest,3,2,1,1,4 - Highest,2,Yes
2,2/21/24 12:29:17,2/21/24 12:30:31,anonymous,,,3,No,White,Male,3,1,2,3,4 - Highest,1,1,1,2,2,Yes
3,2/21/24 12:50:29,2/21/24 12:51:40,anonymous,,,3,No,Black/Black British,Male,2,1,3,1,1,2,0 - Lowest,1,3,1,Yes
4,2/21/24 13:01:54,2/21/24 13:03:12,anonymous,,,4,Yes,White,Prefer not to say,3,3,4 - Highest,3,0 - Lowest,3,2,1,4 - Highest,1,Yes
5,2/21/24 14:13:19,2/21/24 14:14:33,anonymous,,,2,No,White,Female,3,1,4 - Highest,4 - Highest,2,0 - Lowest,2,2,2,2,Yes
6,2/21/24 16:19:07,2/21/24 16:22:48,anonymous,,,2,Yes,White,Male,2,2,3,2,2,1,0 - Lowest,1,4 - Highest,0 - Lowest,Yes
7,2/21/24 19:58:14,2/21/24 20:00:00,anonymous,,,2,No,White,Male,2,1,2,2,3,1,0 - Lowest,0 - Lowest,3,2,Yes
8,2/21/24 23:24:55,2/21/24 23:26:09,anonymous,,,2,Yes,Asian/Asian British,Male,1,2,2,2,2,2,2,2,2,2,Yes
9,2/22/24 12:16:32,2/22/24 12:17:39,anonymous,,,2,No,White,Female,3,4 - Highest,4 - Highest,4 - Highest,0 - Lowest,4 - Highest,1,0 - Lowest,3,0 - Lowest,Yes
10,2/22/24 12:20:46,2/22/24 12:21:39,anonymous,,,2,No,White,Female,2,2,4 - Highest,4 - Highest,3,2,4 - Highest,1,3,0 - Lowest,Yes
11,2/22/24 12:56:11,2/22/24 12:57:00,anonymous,,,2,No,White,Male,0 - Lowest,0 - Lowest,0 - Lowest,0 - Lowest,4 - Highest,1,4 - Highest,0 - Lowest,0 - Lowest,2,No
12,2/22/24 12:52:48,2/22/24 13:06:04,anonymous,,,3,No,White,Female,3,2,4 - Highest,3,1,4 - Highest,0 - Lowest,1,4 - Highest,1,Yes
13,2/22/24 13:22:09,2/22/24 13:23:05,anonymous,,,3,No,White,Female,3,2,4 - Highest,3,2,2,1,0 - Lowest,3,2,Yes
14,2/22/24 13:43:43,2/22/24 13:45:15,anonymous,,,3,No,White,Male,1,1,2,0 - Lowest,3,1,2,4 - Highest,2,4 - Highest,Yes
15,2/22/24 14:01:27,2/22/24 14:02:42,anonymous,,,4,No,White,Female,3,3,4 - Highest,3,1,4 - Highest,2,1,4 - Highest,2,Yes
16,2/22/24 14:02:01,2/22/24 14:03:26,anonymous,,,4,No,Mixed/Multiple ethnic groups,Female,2,2,3,3,3,2,1,3,3,3,Yes
17,2/22/24 14:25:37,2/22/24 14:26:36,anonymous,,,2,No,Asian/Asian British,Female,2,1,4 - Highest,3,3,0 - Lowest,1,1,3,0 - Lowest,Yes
18,2/22/24 15:51:59,2/22/24 15:53:05,anonymous,,,2,No,White,Male,0 - Lowest,2,3,1,2,1,0 - Lowest,1,3,2,Yes
19,2/22/24 16:32:39,2/22/24 16:33:35,anonymous,,,3,No,White,Female,1,2,4 - Highest,2,1,3,0 - Lowest,0 - Lowest,3,0 - Lowest,Yes
20,2/22/24 21:07:27,2/22/24 21:08:07,anonymous,,,2,No,White,Female,4 - Highest,3,4 - Highest,3,2,4 - Highest,2,1,3,0 - Lowest,Yes
21,2/22/24 23:28:55,2/22/24 23:29:47,anonymous,,,2,No,White,Female,4 - Highest,1,4 - Highest,2,2,4 - Highest,1,1,3,1,Yes
22,2/23/24 8:29:37,2/23/24 8:30:56,anonymous,,,1,No,White,Female,2,1,3,2,3,1,1,2,4 - Highest,3,Yes
23,2/23/24 8:53:18,2/23/24 8:55:12,anonymous,,,4,No,Mixed/Multiple ethnic groups,Non-binary,3,3,3,1,3,1,3,1,3,2,Yes
24,2/23/24 9:44:08,2/23/24 9:44:59,anonymous,,,3,No,White,Female,4 - Highest,4 - Highest,4 - Highest,4 - Highest,2,4 - Highest,1,1,4 - Highest,0 - Lowest,Yes
25,2/23/24 16:01:05,2/23/24 16:02:23,anonymous,,,2,No,White,Male,1,1,1,0 - Lowest,3,1,0 - Lowest,2,4 - Highest,3,Yes
26,2/26/24 15:00:09,2/26/24 15:00:57,anonymous,,,4,No,White,Female,2,3,4 - Highest,4 - Highest,2,2,1,0 - Lowest,4 - Highest,1,Yes
27,2/26/24 15:04:53,2/26/24 15:09:39,anonymous,,,1,No,White,Male,3,1,2,2,3,1,1,3,4 - Highest,2,Yes
28,2/26/24 21:13:53,2/26/24 21:15:59,anonymous,,,1,No,White,Female,2,4 - Highest,3,2,2,1,4 - Highest,3,3,3,Yes
29,2/26/24 21:15:25,2/26/24 21:17:06,anonymous,,,1,No,Asian/Asian British,Female,4 - Highest,4 - Highest,4 - Highest,3,4 - Highest,4 - Highest,1,0 - Lowest,3,0 - Lowest,Yes
30,2/28/24 7:56:15,2/28/24 7:57:40,anonymous,,,2,No,White,Male,3,1,3,1,3,2,2,2,1,3,Yes
